index,test_or_train,dialect_region,speaker_id,filename,path_from_data_dir,path_from_data_dir_windows,is_converted_audio,is_audio,is_word_file,is_phonetic_file,is_sentence_file
13964,TRAIN,DR5,MRVG0,SA1.TXT,TRAIN/DR5/MRVG0/SA1.TXT,TRAIN\\DR5\\MRVG0\\SA1.TXT,FALSE,FALSE,FALSE,,TRUE
13970,TRAIN,DR5,MRVG0,SA1.WAV,TRAIN/DR5/MRVG0/SA1.WAV,TRAIN\\DR5\\MRVG0\\SA1.WAV,FALSE,TRUE,FALSE,,FALSE
13986,TRAIN,DR5,MRVG0,SA1.WAV.wav,TRAIN/DR5/MRVG0/SA1.WAV.wav,TRAIN\\DR5\\MRVG0\\SA1.WAV.wav,TRUE,TRUE,FALSE,,FALSE
13987,TRAIN,DR5,MRVG0,SA1.PHN,TRAIN/DR5/MRVG0/SA1.PHN,TRAIN\\DR5\\MRVG0\\SA1.PHN,FALSE,FALSE,FALSE,,FALSE
13989,TRAIN,DR5,MRVG0,SA1.WRD,TRAIN/DR5/MRVG0/SA1.WRD,TRAIN\\DR5\\MRVG0\\SA1.WRD,FALSE,FALSE,TRUE,,FALSE
5419,TRAIN,DR3,FDFB0,SA1.TXT,TRAIN/DR3/FDFB0/SA1.TXT,TRAIN\\DR3\\FDFB0\\SA1.TXT,FALSE,FALSE,FALSE,FALSE,TRUE
5425,TRAIN,DR3,FDFB0,SA1.WAV,TRAIN/DR3/FDFB0/SA1.WAV,TRAIN\\DR3\\FDFB0\\SA1.WAV,FALSE,TRUE,FALSE,FALSE,FALSE
5439,TRAIN,DR3,FDFB0,SA1.WAV.wav,TRAIN/DR3/FDFB0/SA1.WAV.wav,TRAIN\\DR3\\FDFB0\\SA1.WAV.wav,TRUE,TRUE,FALSE,FALSE,FALSE
5440,TRAIN,DR3,FDFB0,SA1.PHN,TRAIN/DR3/FDFB0/SA1.PHN,TRAIN\\DR3\\FDFB0\\SA1.PHN,FALSE,FALSE,FALSE,TRUE,FALSE
5442,TRAIN,DR3,FDFB0,SA1.WRD,TRAIN/DR3/FDFB0/SA1.WRD,TRAIN\\DR3\\FDFB0\\SA1.WRD,FALSE,FALSE,TRUE,FALSE,FALSE
